 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537933.655632946] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.670129140] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.676077219] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.693518452] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537933.699379530] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537933.717451772] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.723495852] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.728551920] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537933.747654175] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537933.757681309] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537933.762442372] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537933.767007433] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698537933.771493493] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537933.774635535] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537933.784438666] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537933.792542774] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537933.793675789] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537933.809568001] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698537933.810493014] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698537933.817863112] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537933.822136169] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537933.829545268] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537933.818628122] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537933.822657176] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537933.828508254] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537933.833459320] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537933.839727404] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537933.846570495] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537933.852991581] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537933.859037662] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537933.864222731] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537933.865160744] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698537933.869357800] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537933.873457854] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537933.875373880] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537933.881472961] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537933.888966061] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537933.894920141] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537933.904962275] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537933.906695298] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537933.916987435] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537933.926818567] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698537933.927985582] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537933.935435682] [robot]: Action result: True
