 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530275.875588063] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530275.888875126] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530275.892415142] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530275.910206227] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530275.932596333] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530275.941319374] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530275.949877415] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530275.970023510] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530275.978618551] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530275.997315639] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530276.005840680] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530276.014263719] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530276.023067760] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530276.038377832] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698530276.046826871] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530276.047202873] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530276.051484893] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530276.058244925] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530276.062276944] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530276.060277934] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698530276.070062980] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.076723011] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530276.080697030] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530276.084137046] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.087741062] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530276.077304014] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530276.086110055] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530276.082346037] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.096724104] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.098422112] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530276.103396136] [robot]: a_deposit
