 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540146.914911754] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540146.922815873] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540146.930794993] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540146.948107254] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540146.956616382] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540146.977430695] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540146.985954823] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540146.994294949] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540147.002731076] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540147.015607269] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698540147.023581389] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698540147.025635420] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540147.037775602] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698540147.039343626] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698540147.051784812] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698540147.063292985] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698540147.067667051] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.063864994] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540147.070364091] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.065803023] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698540147.070575095] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698540147.078650216] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540147.084886309] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698540147.089769383] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.093331436] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.099589530] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.092119418] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540147.099617530] [robot]: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698540147.096227480] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540147.103452588] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540147.107704652] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.112047717] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540147.116447783] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540147.120928850] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540147.117171794] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540147.121387857] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540147.125547920] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540147.129359977] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.132970031] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698540147.133237035] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540147.139526130] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540147.140448143] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540147.144185199] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.155766373] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.155855375] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.161663462] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540147.167753553] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698540147.167758553] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.173222635] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.173583641] [arm]: Doing a_pick_up_sample
