 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530713.286117359] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.292638361] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.311398366] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.317680368] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530713.323531370] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530713.343008375] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.349263377] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.365997381] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.371320383] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530713.379492385] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698530713.387919388] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530713.390371388] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530713.393085389] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530713.394758390] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698530713.404493392] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698530713.408089393] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.405529393] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530713.409673394] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530713.417455396] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530713.425464398] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530713.432225400] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698530713.427267399] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530713.432555400] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530713.444410403] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530713.455887407] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530713.465239409] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698530713.470219411] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530713.479178413] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698530713.482254414] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530713.487156415] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.500177419] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530713.513377423] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530713.522150425] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.526677426] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530713.529714427] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530713.534678429] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530713.539485430] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530713.544667431] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698530713.545748432] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698530713.550156433] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530713.555521434] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530713.562190436] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530713.562656436] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530713.566707437] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530713.568763438] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530713.581088441] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530713.586230443] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.595844446] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.599962447] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530713.599602447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530713.605854448] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.614902451] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530713.618843452] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530713.614419451] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530713.621186453] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530713.630548455] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530713.640385458] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530713.644327459] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530713.642107458] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.643477459] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530713.647319460] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.647595460] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530713.648998460] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698530713.655223462] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.668492466] [nurse]: not ready
