 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698533016.557885748] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.567736664] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.577609579] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.587262497] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533016.596675417] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533016.606276335] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.616022252] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.626089166] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533016.637014073] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533016.650867955] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698533016.658727888] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533016.665156833] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533016.669127799] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698533016.672573770] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.669192798] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698533016.674519753] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533016.679106714] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533016.687272644] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533016.691401609] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533016.689872622] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533016.694033587] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698533016.698622547] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533016.702705513] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533016.708302465] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.707145475] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533016.713796418] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.720458361] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533016.717802384] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698533016.722227346] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533016.726567309] [robot]: a_deposit
