 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698542425.052228364] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.059715136] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542425.067849888] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.076593622] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.084388385] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.092238146] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542425.100343900] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542425.108411654] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.116213417] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.123819186] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542425.132587919] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698542425.144096569] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698542425.152749305] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542425.153779274] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542425.154776244] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542425.158465131] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698542425.159387103] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698542425.164768940] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542425.172143715] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698542425.172990689] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542425.180263468] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698542425.186805269] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542425.188387221] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698542425.194015050] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.188373221] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542425.190131168] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.194377039] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542425.193403068] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.200602849] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698542425.203638757] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542425.204144741] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698542425.207873628] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.212262494] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698542425.216021380] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542425.218069318] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542425.226632057] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698542425.221884202] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542425.223294159] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542425.231499909] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698542425.237107738] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542425.232318884] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.240783627] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542425.250586328] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.258387091] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.259598054] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542425.265176884] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542425.272675656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.277054523] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.273652627] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.278054493] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542425.278756471] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698542425.294493992] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542425.296638927] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698542425.306410630] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.309031550] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542425.310904493] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.323106122] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542425.325319054] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.330117908] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.334229783] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542425.341394565] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542425.347001395] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542425.350952275] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.356224114] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.363199902] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.367566769] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.372366623] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542425.382137326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.386350197] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542425.393153990] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542425.396567887] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542425.382596312] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.386561191] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.393018995] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.396476889] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542425.394415952] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.398777819] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.405491615] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.410269470] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.412816392] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542425.417999235] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698542425.420998143] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542425.422494098] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542425.435440704] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.441628516] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542425.444079441] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698542425.446965353] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.451343220] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.462149891] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.468891686] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.478955380] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.483653237] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.482914259] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698542425.487537119] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.490020043] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.499766747] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542425.505568570] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.506467543] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.523399028] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.532132762] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.543856405] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.545876344] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542425.555022065] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.555303057] [robot]: not ready
