 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540013.313490856] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.317347936] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.330564212] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.334688298] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540013.349605609] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540013.354083703] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.358368792] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.364896928] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540013.368555005] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540013.387874408] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698540013.393924534] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540013.403077725] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698540013.406933806] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540013.417983036] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540013.421588112] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698540013.431179312] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698540013.435350399] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540013.432064330] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540013.435224396] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540013.438633467] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.443024559] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698540013.444942599] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540013.456566841] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540013.460189917] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540013.460648927] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698540013.466297045] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540013.472184167] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540013.476072249] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540013.480404339] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540013.484234419] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540013.477744283] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698540013.481748367] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.485448444] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698540013.479617322] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698540013.483959413] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540013.493845619] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540013.502467799] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698540013.495965664] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.501947788] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540013.517653116] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698540013.524226253] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540013.517793119] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540013.526269296] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.544044667] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540013.545287693] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540013.549171774] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540013.553936873] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540013.556778933] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698540013.558441967] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.568483177] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540013.566765141] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698540013.570641222] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540013.574502303] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540013.575481323] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698540013.578442385] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.584512511] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540013.588283590] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540013.588037585] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.592026668] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540013.599224818] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540013.600077836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540013.607205985] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540013.610030044] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698540013.612924104] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.620917271] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.625165360] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.632116505] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540013.636079588] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540013.623285321] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.627633411] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.637106609] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698540013.630539472] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.642006711] [robot]: not ready
