 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534926.641882589] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.645779530] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.650281461] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.655735379] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534926.661086298] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534926.665593230] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.670703152] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.675410081] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.680105010] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534926.691211842] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698534926.701971679] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534926.707494595] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534926.711957528] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534926.704789636] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534926.708957573] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698534926.705194630] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534926.709466565] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698534926.721132389] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534926.729355264] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534926.735662169] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534926.729557261] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534926.734764182] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534926.738215130] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534926.745627018] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534926.747764986] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534926.747792985] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534926.752074920] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534926.762150768] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534926.767104693] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698534926.769112662] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534926.782160465] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698534926.795019270] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534926.797077239] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534926.805988104] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534926.810149041] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534926.814080982] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534926.818823910] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534926.822763850] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534926.830843728] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534926.835484657] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534926.821256873] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698534926.822463855] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698534926.830823728] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534926.835240661] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534926.847163481] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534926.851901409] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534926.856339342] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534926.863843228] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534926.848159466] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698534926.857296327] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534926.854982362] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534926.862591247] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534926.867281176] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534926.876335039] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534926.881217965] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534926.887358872] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534926.891518809] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534926.899363690] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534926.913710473] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534926.917779412] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534926.919080392] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534926.930834214] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534926.934434159] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534926.935741140] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534926.940231072] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534926.951452902] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534926.951452902] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534926.955687838] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534926.960111771] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698534926.960936758] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534926.974743549] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534926.976921516] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534926.986566370] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534926.992912274] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534926.995590234] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534926.997426206] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534927.000254163] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.006693065] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534927.010162013] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534927.010738004] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534927.016472917] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534927.024896790] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534927.026847760] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.030244709] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.041796534] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534927.046007470] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534927.050509402] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.064548189] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534927.065522174] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698534927.072653066] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.081901926] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.087775837] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534927.092474766] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.098377677] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534927.098501675] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.100960638] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534927.110243497] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534927.113340450] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.119196361] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534927.123961289] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534927.123961289] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534927.124874275] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.134685127] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.138179074] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534927.140364041] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534927.145848958] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534927.148451918] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534927.150659885] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534927.155670809] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698534927.158741762] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.164208680] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534927.169287603] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534927.170575583] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.172061561] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534927.176452494] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.181983410] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534927.186337344] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534927.192251255] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534927.200688127] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698534927.209034001] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534927.209502994] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534927.212543948] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534927.213873927] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534927.215149908] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.226869731] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.230909669] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.234100621] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534927.240427525] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534927.245369450] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534927.253697324] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534927.256676279] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698534927.265604144] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.266379132] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.275989987] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.284404859] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.288536797] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.285511842] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.289524782] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.300527615] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.304737551] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.301395602] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534927.301824595] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534927.309594478] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534927.310972457] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.319292331] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.326948215] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534927.328456192] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.331305149] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.344283952] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534927.348435889] [robot]: not ready
