 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530968.766827122] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.771083242] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.775120355] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.786153665] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530968.795125918] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530968.804403178] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.825016758] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.834459023] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530968.843339273] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530968.856884654] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698530968.863608843] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530968.864104857] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530968.865181887] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530968.867699958] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530968.872715099] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698530968.883790410] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530968.887740521] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530968.873170112] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530968.885150449] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530968.889146561] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530968.881044333] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530968.885313453] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530968.889067559] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530968.893062671] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530968.893457682] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530968.897258789] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530968.906244042] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530968.914284268] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530968.909385130] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530968.917028345] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530968.924473554] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530968.932377776] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530968.939919988] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530968.948325225] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530968.956544456] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530968.970633852] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530968.981935170] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530968.988318349] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530968.995519552] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698530968.997352603] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.001708726] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.006501860] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.011455999] [nurse]: Doing a_authenticate_nurse
