 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698531237.334835268] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.340786399] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.345571503] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.362467873] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531237.367576984] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531237.385874384] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.390181478] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.394301568] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531237.399235676] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531237.419136111] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531237.427438293] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698531237.435037459] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698531237.436372488] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531237.441520601] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698531237.445766694] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531237.449871783] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531237.456821935] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531237.464467102] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531237.460494015] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531237.463947091] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531237.476522366] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531237.597815017] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698531237.786312138] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531237.791600254] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531237.797132375] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531237.799465426] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698531237.810916676] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531237.822348926] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698531237.825636998] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698531237.828598063] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531237.833194163] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531237.836870243] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531237.829459081] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531237.833700174] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531237.837518258] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531237.857154687] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531237.864080838] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531237.872848030] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531237.879383173] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531237.885811313] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531237.892101451] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531237.898342587] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531237.907003777] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531237.912876905] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531237.914130932] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698531237.919867058] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531237.924023149] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531237.923165130] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531237.930571292] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531237.923278132] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531237.930562292] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531237.939705491] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531237.943762580] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531237.951831757] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531237.942951562] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531237.946940650] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531237.962538991] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531237.964061024] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531237.970205158] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531237.985670496] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531237.991653627] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531237.995761717] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531237.992902654] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531237.996594735] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.007599975] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531238.009643020] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.011201054] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531238.014673129] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531238.020937266] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.017765197] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531238.026181380] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531238.041943723] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698531238.042091726] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531238.046948832] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531238.056483040] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.068652305] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.073115402] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.080750568] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.084268644] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.070427343] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.077578499] [nurse]: Action result: False
