 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698536428.717839171] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.722382286] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.740196736] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.744676850] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536428.762416298] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536428.766771408] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.780970767] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.785743888] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536428.790341004] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536428.808023451] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698536428.814635618] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698536428.822529818] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698536428.830330015] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698536428.834418118] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536428.834099110] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698536428.835534146] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536428.838205214] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536428.839873256] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698536428.843543349] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536428.844795381] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536428.850090514] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698536428.852887585] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536428.856352673] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536428.853153592] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536428.856466676] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536428.868824988] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536428.869097995] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536428.873968118] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536428.881304304] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698536428.881770315] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698536428.888981498] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536428.894356633] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536428.898185730] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536428.901151805] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698536428.903718870] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536428.911696072] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536428.917724224] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536428.928680501] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536428.931030561] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698536428.933882633] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536428.936814707] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536428.941899835] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536428.945303921] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536428.954348150] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698536428.956312200] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536428.960979318] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536428.964902417] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536428.969028521] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536428.974566661] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536428.981679841] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536428.985862947] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536428.989583041] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698536428.994505165] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536428.998450265] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536429.004219411] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.009491544] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536429.010970581] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698536429.020714826] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536429.024518922] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536429.024836930] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.029901058] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.038667279] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536429.043936412] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536429.045309446] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536429.049476551] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698536429.045359448] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.050741583] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536429.057439752] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.061014842] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536429.063262899] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.071662111] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.076226226] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.084914445] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.094914697] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.098793794] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.101550864] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536429.102723893] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.107733020] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.120488341] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536429.121311362] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.127056507] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.136571746] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536429.141912881] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.145048960] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.154958210] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.158954311] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536429.161463374] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536429.166746507] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.175783735] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536429.179158820] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.186125995] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536429.187825038] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698536429.196550258] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.194389204] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.198349304] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.197519283] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.203690438] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536429.210253604] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536429.217411784] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698536429.219802844] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536429.229657093] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536429.232333160] [arm]: Action result: False
