 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698529655.566485124] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.572763214] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.578551298] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.594225523] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529655.600299611] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529655.610883763] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.622408929] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.638699163] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529655.646003268] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529655.661982498] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529655.663468519] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529655.668726595] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698529655.677479721] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529655.685050830] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529655.685262833] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529655.694507966] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529655.699877043] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529655.703140090] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698529655.712700228] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529655.720465339] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529655.727564441] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698529655.729643471] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529655.742049650] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529655.747161723] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529655.755595845] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529655.766787006] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529655.772593089] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529655.779369187] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529655.786349287] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529655.792764379] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529655.796662436] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529655.800365489] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529655.805325560] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529655.806307574] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698529655.809854625] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529655.815607708] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529655.819813769] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529655.826453864] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529655.821809797] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529655.825968857] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529655.826405863] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698529655.830186918] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529655.832684954] [robot]: not ready
