 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698542129.653318219] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.660720864] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.668569488] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.675849138] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542129.683914752] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542129.691966366] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.700329965] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.707692611] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542129.715335245] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698542129.727581658] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698542129.734693317] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542129.739143103] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698542129.737034204] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698542129.744209860] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542129.744954825] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542129.749230620] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542129.754384373] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542129.758748163] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542129.762800969] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542129.762710973] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542129.766326800] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698542129.766605786] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542129.768447698] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542129.770611594] [robot]: a_close_drawer
