 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698539449.902105839] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.906068784] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.917659625] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.933634405] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698539449.937523352] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698539449.941586296] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.956566090] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.960295039] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539449.964981975] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698539449.987441666] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698539449.998482514] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698539450.006261407] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.010673347] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.007031397] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698539450.012507322] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698539450.022324187] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698539450.026134135] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698539450.023067177] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698539450.026797126] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698539450.023494171] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539450.027839111] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539450.031659059] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539450.034510020] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698539450.042513910] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.046455856] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.043125901] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539450.046949849] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.046571854] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.050945794] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539450.056728715] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698539450.070768522] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698539450.073577483] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698539450.073682482] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.077634428] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539450.080450389] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698539450.082453361] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539450.087105298] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539450.096618167] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539450.103040079] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698539450.098062147] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698539450.105288048] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.108403005] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539450.110286979] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539450.115553907] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698539450.117148885] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539450.122840807] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.125318773] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.136609618] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539450.143929517] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.151780410] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698539450.156027351] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698539450.159206308] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.159630302] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539450.160539289] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539450.169288169] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539450.173823107] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539450.182094993] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.186696930] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698539450.191263867] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539450.193094842] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.194542822] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.196681793] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.197003789] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539450.205423673] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539450.207101650] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698539450.218223497] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539450.221448453] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539450.223013432] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539450.231400316] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698539450.238929213] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539450.243558149] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.254382001] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.262945883] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539450.267034827] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539450.267926815] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539450.272442753] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539450.280744639] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.288773529] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.292464478] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.298803391] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.304509313] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.311664214] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698539450.308229262] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539450.314886170] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539450.318966114] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.318990114] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539450.321770076] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.323165056] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.343280780] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539450.345368752] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539450.349639693] [arm]: Action result: False
