 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540278.719625799] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.734999993] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.741409073] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.758231286] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540278.764402363] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540278.786078637] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.792438717] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.796839773] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.814567996] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540278.825018128] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698540278.831062204] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540278.834017242] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540278.838317296] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698540278.844249371] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540278.847674414] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540278.846853404] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698540278.855927518] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540278.859904568] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698540278.858295548] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698540278.864757629] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540278.869911695] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540278.875538765] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540278.877763794] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698540278.895189013] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698540278.901427092] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540278.906491156] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540278.908432180] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540278.913344242] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540278.918141303] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540278.926742411] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698540278.930642461] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698540278.931051466] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540278.933724500] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698540278.935462521] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540278.939274570] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698540278.938033554] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540278.943026617] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540278.943392621] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540278.948189682] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540278.953881754] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540278.958110807] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540278.961660852] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540278.966118908] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540278.970629965] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540278.978408063] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540278.987625180] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540278.989323201] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540278.991852233] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.000842346] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.005460404] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540279.009317453] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540279.009158451] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.012824497] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540279.014134514] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.015267528] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540279.023887636] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540279.026807673] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.030842724] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.034686772] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540279.040644847] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540279.045389907] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698540279.050081966] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.054590022] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.063126130] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540279.063186130] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540279.070576223] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540279.072221244] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698540279.074927278] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.078293320] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.087731439] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.091947492] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.096172545] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540279.096397548] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.101194608] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.113761767] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540279.115849793] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.121530864] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.130214973] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.146989184] [robot]: Doing a_approach_nurse
