 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698535059.346492654] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.355384580] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.364728502] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.373629427] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535059.382321354] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535059.390799284] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.399623210] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.408778133] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.417626059] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698535059.430510951] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698535059.436667900] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535059.445260828] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535059.450048788] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698535059.450068788] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698535059.454574750] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698535059.458676716] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535059.462760682] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535059.454751749] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535059.458928714] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.466823648] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698535059.469533625] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535059.470099620] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535059.475144578] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535059.476074570] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535059.481048529] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698535059.478830547] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.488944463] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.494174419] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.498979379] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535059.503126344] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535059.508699298] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698535059.508744297] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535059.513177260] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535059.517042228] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698535059.517340225] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535059.520998195] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535059.525617156] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535059.537226059] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535059.539443040] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535059.544692997] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.546608981] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698535059.551220942] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535059.551494940] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698535059.553395924] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.557477890] [nurse]: Action result: False
