 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528415.014204460] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528415.022438626] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.030822795] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.039440969] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.049940181] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528415.059637376] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528415.068140548] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.077069728] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.085467897] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.094505080] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528415.107289337] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698528415.118381561] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528415.127074737] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528415.134387884] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698528415.141769033] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528415.149932198] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528415.151242224] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698528415.161172424] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528415.165018502] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528415.166813538] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.177663757] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698528415.179214788] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.184004885] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528415.188312972] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528415.194393094] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698528415.190274011] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.200795223] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528415.205046309] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.210012409] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528415.213990490] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528415.217973570] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528415.208946388] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698528415.213402478] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528415.232178856] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528415.242281060] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698528415.246718150] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528415.250649229] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.243419083] [robot]: a_navto
