 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698527128.829398735] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.836118762] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.852943828] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.857648846] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698527128.863370869] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527128.880441936] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.884816953] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.907681043] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527128.912938063] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698527128.940216171] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698527128.940858173] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698527128.953818224] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527128.957534239] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698527128.959661247] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698527128.964863267] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698527128.966552274] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698527128.970021288] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527128.984654345] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527128.972908299] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527128.978557321] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698527128.983379340] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698527128.989613365] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527128.995458388] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527128.994758385] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698527128.998694400] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527129.008441438] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698527129.009246441] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527129.014253459] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.016850469] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527129.018065473] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698527129.043818569] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527129.045583576] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527129.050592594] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527129.055619613] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527129.056132615] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698527129.061863636] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527129.067060656] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698527129.069772666] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698527129.071741673] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527129.074459683] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698527129.076140690] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698527129.079622702] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527129.095133760] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698527129.100515780] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.100764781] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.105831800] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527129.114308832] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.124318869] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.129433888] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.130451892] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698527129.134011905] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.134741908] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527129.146348951] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527129.152414973] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.161409007] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.166462026] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.171424044] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.175565059] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698527129.176812064] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.179342074] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527129.186229099] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527129.197308140] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698527129.198088143] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.208447182] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527129.208749183] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.212478197] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.214528204] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698527129.216148210] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698527129.218534219] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.219131222] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527129.225955247] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527129.228686257] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527129.241258304] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527129.242653309] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698527129.245051318] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.249973336] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.251103341] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.265447394] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.271567417] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527129.274666428] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.277042437] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.280903451] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.282448457] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.285631469] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698527129.285664469] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.301316527] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527129.306445546] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.307393550] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.318186590] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527129.321333602] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.328513629] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527129.332109642] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.337292661] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527129.350303710] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527129.350642711] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.359712745] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.361075750] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527129.368034776] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.369702782] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527129.374201799] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.374201799] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527129.381819827] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527129.382153828] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527129.386359844] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527129.386471844] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.399891894] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.402932906] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698527129.403955909] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.410691934] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527129.416031954] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.420021969] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527129.426293992] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.416238955] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.420139970] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527129.418062962] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527129.421817976] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698527129.424708987] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698527129.433428019] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698527129.433775020] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.438489038] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.453178092] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527129.454382097] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527129.463075129] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.466365142] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527129.468531150] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.468587150] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.487622221] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.493859244] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527129.494567246] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.502910278] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.505387287] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.507650295] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.510718307] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698527129.510750307] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527129.516239327] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.526705366] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.535011397] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.546114438] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.547356443] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.560098490] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527129.560712493] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.563641504] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.565714511] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.565878512] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698527129.573765541] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527129.578141557] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698527129.578454559] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527129.589167598] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527129.595648623] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527129.602418648] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527129.604513656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527129.603689653] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698527129.613861690] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.614563693] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698527129.629676749] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527129.633782765] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527129.631882757] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.632492760] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698527129.637627779] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698527129.639655786] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.642070795] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.648599820] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.648749820] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527129.653700839] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.658310856] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527129.663389875] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527129.658370856] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527129.665309882] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527129.672966910] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.673471912] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527129.679163933] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527129.682323945] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527129.690504976] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698527129.690643976] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.691047978] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698527129.695217993] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.697505002] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527129.700965014] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698527129.707376038] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527129.708471042] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527129.708453042] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.719744084] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527129.721495091] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527129.726688110] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698527129.730819126] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.740790163] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527129.745713181] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527129.749389195] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527129.751824204] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527129.754666214] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.754681214] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698527129.759366232] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527129.759562233] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.773293284] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527129.775998294] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527129.776359295] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698527129.781409314] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.781912316] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527129.784602326] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527129.786842334] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.796528370] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527129.796867371] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527129.800979387] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.804643400] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.810681423] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698527129.810955424] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527129.816643445] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.825802479] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527129.828036487] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698527129.829815494] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527129.837920524] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527129.844293548] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698527129.846047554] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527129.851495575] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698527129.847118558] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698527129.867571634] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527129.867886636] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527129.875840665] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527129.880012681] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698527129.884798699] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.889703717] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527129.901967762] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527129.902673765] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527129.907460783] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527129.909788792] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698527129.932961878] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527129.937714895] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527129.941466909] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527129.955566962] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698527129.962588988] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527129.966428002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527129.970348017] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527129.976230039] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698527129.979822052] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698527129.988843086] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527129.993227102] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527129.999487125] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527130.003450140] [robot]: Action: a_navto
