 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698535898.258245934] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535898.262856987] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535898.279460176] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535898.283845226] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535898.294083342] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535898.298897397] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698535898.318542621] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698535898.326292709] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535898.335094809] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698535898.336196822] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535898.346660941] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535898.350634986] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698535898.350727987] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698535898.354863034] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698535898.359942092] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698535898.364589145] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698535898.365246152] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535898.370033207] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535898.372323233] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535898.376035275] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698535898.376663282] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698535898.387572406] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535898.390552440] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.390631441] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698535898.391335449] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.396461508] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698535898.405744613] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698535898.408941650] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535898.411083674] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535898.418915763] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535898.433502929] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698535898.438048981] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535898.439840001] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535898.456887195] [robot]: a_approach_arm
