 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698532351.788953168] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.794845262] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.801327365] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.819039647] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532351.825601751] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532351.842895026] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.849675133] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.866546401] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532351.873279508] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698532351.888495750] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532351.890276778] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698532351.892658816] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698532351.896345875] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698532351.902225968] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532351.911450115] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532351.915876185] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698532351.920575260] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532351.925567339] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698532351.929478401] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532351.934845486] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532351.932026442] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698532351.936016505] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532351.943680627] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532351.947206683] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532351.959106872] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532351.965087967] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532351.969898043] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532351.978936187] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698532351.980131206] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698532351.987591325] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532351.992707406] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532351.993741422] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532351.994850440] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532351.998300495] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532352.008375654] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532352.012384718] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532352.015991775] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532352.025697928] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.032283033] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532352.037632117] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698532352.042030187] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532352.046498257] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.056387414] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698532352.057176426] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532352.058308444] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.060937486] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532352.065538559] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532352.073398683] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532352.074148695] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532352.077987756] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698532352.086508890] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532352.090505954] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532352.094580018] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532352.100495112] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532352.102392142] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532352.107328220] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532352.110723274] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698532352.111568287] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.115646351] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532352.124883498] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.136038674] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.140248741] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.136688684] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532352.140736748] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.149511887] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.151111913] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532352.154846972] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.160755065] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.170720223] [arm]: not ready
