 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698527262.976007640] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527262.989481926] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527262.998346772] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527263.007487641] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698527263.016216468] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527263.026168410] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527263.035381282] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527263.045796268] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527263.055955230] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698527263.068693435] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698527263.080653568] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698527263.090785527] [arm]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698527263.090857534] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.101760566] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698527263.106623026] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.102011589] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527263.106718035] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698527263.106896052] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.121425427] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.121425427] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698527263.127732024] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.128822127] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698527263.132130441] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527263.137686967] [robot]: Action: a_navto
