 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698536159.400916976] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.419069199] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.424814270] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.441898480] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536159.447723551] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536159.453222619] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.470091826] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.475889897] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536159.494327124] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536159.506233270] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698536159.509047304] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698536159.512315345] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698536159.521478457] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536159.527296529] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698536159.531413579] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536159.535145625] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536159.536781645] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698536159.541476703] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536159.546199761] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536159.544030734] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536159.552939844] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536159.561617950] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536159.568820039] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536159.574867113] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698536159.582353205] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536159.588649282] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536159.592195326] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698536159.595331364] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536159.599718418] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536159.604983483] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536159.609743541] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698536159.616117620] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536159.621891691] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536159.628266769] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536159.634303843] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536159.640443918] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536159.646206989] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536159.652534067] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536159.660890170] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536159.667119246] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536159.667841255] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698536159.675849353] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698536159.677817377] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698536159.681452422] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536159.689926526] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536159.694263579] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536159.678039380] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.682031429] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536159.690315531] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536159.694587583] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536159.702770684] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536159.708907759] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536159.723225935] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536159.729324010] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536159.740225144] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536159.745111204] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536159.756563345] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536159.762095413] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536159.770899521] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536159.771252525] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698536159.776913595] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536159.779256623] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698536159.785269697] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536159.789628751] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536159.798831864] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536159.806820962] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536159.807905975] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.810388006] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536159.815780072] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536159.819351116] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536159.820526130] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698536159.821310140] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536159.825308189] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536159.826857208] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536159.837439338] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536159.839488363] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698536159.845254434] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.855407559] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536159.858082592] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536159.861446633] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536159.865619684] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.875114801] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536159.882719894] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536159.886146936] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.890453989] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536159.892178010] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536159.895859056] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536159.905301172] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536159.909324221] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536159.905901179] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536159.910145231] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536159.906099181] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698536159.910071230] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536159.921221367] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.925683422] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536159.933874523] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536159.937787571] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.943570642] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536159.949574715] [environment]: Responding
