 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698532489.644046053] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.653082138] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.662881231] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.672368320] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532489.681635408] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532489.690323490] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.698541568] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.706393642] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532489.714822722] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532489.730104866] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698532489.737103932] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532489.742825987] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698532489.752054074] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532489.771945262] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532489.778662325] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532489.784406380] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698532489.790563438] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532489.794808478] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532489.800040527] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532489.808498607] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532489.813004650] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698532489.813844658] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532489.819319710] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532490.021326618] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698532490.041304806] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532490.051582903] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532490.064475024] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532490.068305060] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532490.079857169] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.241377687] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698532490.247348743] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532490.251521782] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532490.261560877] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532490.265419913] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532490.263559896] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532490.278002031] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532490.287045116] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532490.298509224] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532490.305253288] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698532490.310139333] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532490.316364392] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532490.320007426] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532490.324762471] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532490.328106502] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.333046549] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532490.340894623] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532490.344814659] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.351924726] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.355715762] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.361463816] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532490.365278852] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532490.357982783] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.367676874] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532490.379173982] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698532490.385700044] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532490.391706100] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532490.392068104] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.396192142] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532490.393674119] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532490.397786157] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532490.399928177] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.409334266] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532490.416007329] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.423469399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.429845459] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.427679438] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532490.430755467] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698532490.437246528] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.443446587] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.444695598] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532490.450352651] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.454497690] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532490.458757730] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.452917676] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.456342708] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532490.466518803] [nurse]: Doing a_authenticate_nurse
