 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698541293.978830894] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541293.995248910] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541294.013624928] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.022534937] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541294.038202952] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.047487961] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.069594983] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.078337991] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541294.097469010] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541294.103299016] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.108559021] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.116699029] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.125674038] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541294.140209052] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698541294.146463058] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541294.155953067] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698541294.163454075] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541294.164682076] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698541294.168934080] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698541294.168976080] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541294.178211089] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698541294.182942094] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541294.191957103] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.179994091] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541294.184561095] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541294.189614100] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541294.181456092] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698541294.185530096] [nurse]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.183240094] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698541294.188064099] [coordinator]: Updating planner state
trials-all-1  | [arm-1] [INFO] [1698541294.195590106] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.197484108] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.197876108] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.202233113] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698541294.202408113] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698541294.205566116] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541294.207382118] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541294.215061125] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.221216131] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698541294.222076132] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541294.225590135] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541294.229775140] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698541294.226477136] [environment]: Action: a_navto
trials-all-1  | [planner-5] [INFO] [1698541294.228782139] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698541294.234941145] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.238841148] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541294.242922152] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.247019156] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541294.243789153] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698541294.253625163] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698541294.254049163] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541294.256230165] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541294.258119167] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.266279175] [coordinator]: Creating plan for: robot1, nurse1, arm1 
