 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698539488.906620009] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.921657875] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.926739830] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.932179782] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698539488.953106595] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698539488.958356549] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.973247416] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.978427370] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539488.994672225] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698539489.004017142] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698539489.021312988] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698539489.026472942] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698539489.033750877] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698539489.034513870] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698539489.041766806] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.042369801] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698539489.046553763] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.051923715] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539489.056763672] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698539489.059818645] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539489.061607629] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.062120625] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698539489.072624531] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539489.081540452] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539489.087897395] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698539489.093317347] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698539489.095547327] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.101217277] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539489.106387230] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539489.111406186] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539489.116835137] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539489.122132090] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539489.127633041] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539489.133256991] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.138558944] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539489.146693872] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.152987816] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.163283724] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.169029673] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539489.179173582] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.187267510] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.194321447] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.199010406] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539489.208079325] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698539489.218194235] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.222151200] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539489.224021183] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698539489.229044138] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698539489.234219092] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.238832051] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698539489.243147013] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539489.243122013] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.250558947] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539489.253584920] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.254688910] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.263353833] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539489.266776802] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.272660750] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.274009738] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.278267700] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.278530698] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.288956605] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.302205487] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539489.310317415] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698539489.315018373] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698539489.318304343] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539489.319334334] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698539489.325314281] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.327289263] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539489.333814205] [arm]: Doing a_pick_up_sample
