 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528275.621747775] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.628925952] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.648112425] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.652464533] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528275.658726687] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528275.675996113] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.680588227] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.696399617] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528275.701327739] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528275.719852196] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698528275.729919444] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528275.730434457] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528275.734520558] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698528275.742719760] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698528275.747134869] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.746913864] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698528275.751533978] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698528275.752190994] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528275.757875134] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528275.764314293] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528275.768201389] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528275.766441346] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528275.776944605] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528275.783109757] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.783408764] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698528275.786534842] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528275.794813046] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528275.794830046] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.818179623] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528275.822779736] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528275.830698932] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528275.838581126] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528275.845509297] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528275.849562397] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528275.846313317] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698528275.851070434] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528275.853617497] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528275.861555693] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528275.870500914] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528275.874624016] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528275.881172177] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528275.891606435] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698528275.897298575] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528275.909313872] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528275.911722931] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528275.915932035] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528275.920645151] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528275.918491098] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698528275.923165214] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698528275.918903109] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.927295316] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528275.929634373] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.932347440] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528275.943074705] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528275.951288908] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528275.952602940] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528275.956779043] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528275.958682090] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528275.967184300] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528275.972021419] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528275.972403429] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528275.986088767] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528275.990430874] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528275.993663954] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528275.994529975] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528276.000065112] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528276.010791375] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698528276.014800474] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.025723742] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.031534885] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528276.035718987] [coordinator]: plans_actions_current 1 of 11
