 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698529481.953140548] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529481.969952835] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529481.976514947] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529481.994016246] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529482.000032348] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529482.005893448] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529482.022925737] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529482.028836837] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529482.045841125] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529482.052290235] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529482.058982348] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529482.072082570] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698529482.073860601] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529482.074458611] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529482.079597698] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698529482.089717869] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.094489950] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529482.096717988] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698529482.100191047] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.104930127] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529482.115876313] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529482.120848397] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.122882432] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698529482.124163454] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529482.131092571] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529482.135785651] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.148268862] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.149321880] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529482.156404000] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529482.159035045] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.172958281] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529482.175014316] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529482.181068419] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529482.185822499] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529482.191627598] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529482.195950671] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529482.200268744] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529482.203640801] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.207245863] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529482.211457934] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.216465019] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.228759227] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698529482.229022232] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.232782296] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698529482.237050368] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.244998503] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.251079606] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529482.255332678] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529482.261458782] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529482.265805856] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.267111878] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.270348933] [environment]: Action: monitor
