 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537355.816312192] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537355.832714710] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537355.837314855] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537355.841272980] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537355.862030636] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537355.865886758] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537355.871209926] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537355.890376532] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537355.898096776] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537355.898346784] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537355.903048932] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698537355.904460977] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537355.910126156] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698537355.913866274] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537355.919645456] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537355.923212569] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537355.911326194] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698537355.915475325] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537355.919537453] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537355.923599581] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537355.915573328] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537355.919444450] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537355.928424734] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537355.933095881] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537355.934261918] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537355.939777092] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537355.950590434] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537355.958602687] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537355.971289088] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537355.978040301] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537355.984715512] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537355.991052712] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537355.994863833] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537356.000244003] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.009108282] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537356.018582581] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537356.023160725] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537356.025204790] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537356.035292107] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537356.040115259] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.050201577] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698537356.058044824] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.058631843] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537356.063042982] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698537356.064491028] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.075749382] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537356.082279588] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537356.083372623] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698537356.090448846] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537356.095979020] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537356.097484067] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537356.104328283] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537356.108818424] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537356.109473445] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698537356.111110497] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.115140624] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.113427570] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537356.118298723] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.119836772] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.122644860] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.128483044] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537356.136202287] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537356.142854497] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.147092631] [robot]: not ready
