 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528644.699027873] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.704128935] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.721259142] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.725746196] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528644.737386337] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528644.741628388] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.745695438] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.759583605] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528644.764326663] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528644.781204867] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698528644.791785995] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528644.797089059] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528644.801575113] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698528644.800970106] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698528644.801960118] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528644.815778285] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528644.824060385] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528644.830004457] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528644.818918323] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528644.819617331] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528644.832844491] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698528644.821850358] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528644.828659441] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698528644.833697501] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528644.835865528] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698528644.842840612] [nurse]: Action: a_authenticate_nurse
