 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540539.380547756] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.390705829] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.400993904] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.410752974] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540539.420922048] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540539.430664119] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.440880193] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.450435262] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540539.459562328] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540539.473036425] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698540539.481143484] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540539.483131498] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540539.487694531] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698540539.490513552] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698540539.491043556] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698540539.496220593] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698540539.503700647] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540539.498656611] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540539.503254644] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540539.506870670] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698540539.501421631] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.505303659] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.508660683] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540539.511839706] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540539.512378710] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540539.514619726] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540539.522740785] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540539.529236832] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540539.534668871] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540539.535923881] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698540539.540848916] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540539.541901924] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540539.550363985] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540539.556720031] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540539.562204071] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540539.571830140] [robot]: a_pick_up_sample
