 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698541064.940906156] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541064.947816078] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541064.955397992] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541064.962628910] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541064.969965827] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541064.977413743] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541064.988635616] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698541064.995577537] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541065.003132452] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541065.008405392] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541065.012559345] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698541065.015620310] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698541065.021449244] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541065.030773139] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541065.027946171] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698541065.032014125] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.029633152] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541065.034800093] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.039585039] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541065.041558017] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541065.046576960] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.050681914] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698541065.042937001] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541065.049845923] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.054579870] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.043097000] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541065.053360883] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698541065.054634869] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541065.058773822] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541065.062903776] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541065.067728721] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541065.072328669] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541065.077037616] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541065.085089525] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.088923481] [robot]: not ready
