 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528961.235147230] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.241075458] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.247167693] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.267484477] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528961.273689716] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528961.291011384] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.296990615] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.303698874] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528961.318738454] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528961.329924885] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698528961.333694031] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528961.339674262] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698528961.345291478] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528961.342723379] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528961.349417637] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528961.355935889] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.356153897] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698528961.360421062] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698528961.376067665] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528961.381125860] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528961.385510030] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528961.381280866] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698528961.388221134] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528961.398555533] [arm]: Action: a_approach_arm
