 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528134.299748578] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.313305876] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.329551223] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.338556742] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528134.347053062] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528134.369688907] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.379603781] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.388941429] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.398247065] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528134.411636297] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698528134.418017790] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528134.419568396] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528134.425629765] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698528134.434148093] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528134.439000989] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698528134.437995597] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698528134.442674425] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698528134.442800474] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528134.448726790] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.455026251] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.455178310] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528134.460794505] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.462920336] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528134.465156209] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.466364681] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528134.471470676] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528134.474098703] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.472933248] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528134.490844246] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698528134.491039323] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528134.508053971] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528134.514311416] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528134.519212331] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528134.523130862] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528134.526850315] [robot]: a_open_drawer
