 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698538472.267408377] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538472.272287334] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.276136299] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538472.294126138] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.304345047] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.320337903] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.325957853] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538472.330913809] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538472.347225663] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.352486616] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.369295465] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.374175421] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538472.394781237] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698538472.406600131] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538472.416126046] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538472.416331044] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538472.424936967] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698538472.428351936] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698538472.424965967] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698538472.428312937] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538472.438557845] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538472.448049760] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538472.451958725] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538472.463149625] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.450028742] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698538472.454174705] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.457950671] [nurse]: a_deposit
