 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530054.805976131] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.821815215] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.826190238] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.840623315] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530054.844801337] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530054.848926359] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.864025440] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.868804465] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530054.882600539] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530054.893875599] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698530054.899782630] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530054.904337654] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530054.904454655] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530054.913436703] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530054.917867726] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698530054.916454719] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698530054.920579741] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530054.918549730] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530054.922345750] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530054.930818795] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530054.934087813] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530054.936030823] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530054.938192835] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530054.941633853] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530054.948275888] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530054.953522916] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530054.955976929] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698530054.958297942] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530054.964382974] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530054.967659991] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530054.976259037] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530054.982858072] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530054.990555113] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530054.996430145] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530055.000020164] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530055.004247186] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.007663204] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530055.020375271] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530055.027660309] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.039704372] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.039704372] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530055.048639419] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.049593424] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530055.056588461] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698530055.056881463] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530055.060250480] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530055.065793509] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530055.072497545] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.078652577] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530055.078748577] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530055.082677598] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530055.088536629] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530055.092463650] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530055.088968631] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530055.093346654] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530055.095003663] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.099667687] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530055.102756704] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.107134727] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.110731745] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530055.113899762] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698530055.116392775] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.120772798] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.129283843] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.133562865] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.152667966] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.157375991] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530055.158442996] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530055.162812019] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.169202053] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
