 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698536027.791900073] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.809255143] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.813403159] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.817237175] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536027.834709246] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536027.841439273] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.852717318] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.868881384] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536027.876646415] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536027.898641504] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698536027.914732569] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536027.919451588] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698536027.920249591] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698536027.925951614] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698536027.932153639] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536027.937417661] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536027.943509685] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698536027.944897691] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536027.955216733] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536027.962884764] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536027.965170773] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698536027.967081781] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536027.979459831] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536027.982296842] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536027.990325875] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698536027.994758893] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698536027.996139898] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.002421924] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698536028.006434940] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536028.008351947] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536028.014650973] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536028.019291991] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536028.024047010] [robot]: a_approach_arm
