 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537760.170473619] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.188523958] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.193939060] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.208989342] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537760.213828433] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537760.218831527] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.235676843] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.240813939] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.257093245] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537760.265049394] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537760.272459533] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537760.277652630] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698537760.274961580] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537760.275332587] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537760.279028656] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698537760.280052675] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698537760.281525703] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537760.289467852] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537760.290176865] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537760.290778877] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537760.294193941] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537760.296495984] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537760.311735270] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537760.303267111] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537760.307017181] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537760.303297112] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537760.308381207] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537760.312195279] [robot]: a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537760.306728176] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698537760.311364263] [coordinator]: Updating planner state
trials-all-1  | [environment-3] [INFO] [1698537760.314036313] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698537760.332017650] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537760.319314412] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537760.319372413] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537760.323708495] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537760.327423564] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537760.331047632] [robot]: a_approach_arm
