 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534077.519794741] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.525691644] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.543383353] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.549062259] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534077.565725985] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534077.571623888] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.576967800] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.594301514] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534077.600447413] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534077.614639179] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698534077.615734161] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534077.624863011] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698534077.631705898] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534077.637019811] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698534077.641663734] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534077.633388871] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534077.638813781] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534077.641438738] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534077.649925598] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534077.661568406] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534077.665718338] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534077.671753239] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534077.676040168] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534077.681509078] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698534077.685274016] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698534077.689877940] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534077.688786958] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534077.692861891] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534077.698279802] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534077.707352653] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534077.712532567] [arm]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698534077.716360504] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534077.719300456] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534077.726655335] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534077.737298159] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534077.746400009] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534077.750496942] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534077.746881002] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534077.750907935] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534077.760617775] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534077.762732740] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534077.765708691] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534077.769470630] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534077.770362615] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534077.776971506] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698534077.782500415] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534077.790111290] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698534077.798930144] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534077.806634018] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534077.807173009] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534077.813199909] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534077.818256826] [arm]: success
