 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534646.094874288] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.103133111] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.111574931] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.127582590] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534646.137024389] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534646.145339211] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.153763032] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.162344849] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.171257659] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534646.184897368] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698534646.191112235] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534646.193412186] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534646.196501120] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534646.203832964] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534646.208824858] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.203931962] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534646.212252784] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534646.213030768] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.220926599] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534646.226262486] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534646.228587436] [arm]: Doing a_approach_arm
