 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698527995.904568040] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.912821996] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.920050956] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.926717920] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698527995.932253890] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527995.936825865] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.946492813] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.954276770] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527995.963718719] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698527995.977270645] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698527995.986917593] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698527995.991413568] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698527995.991942566] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527995.999470525] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527996.003856501] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698527996.005863490] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.009102471] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698527996.015773434] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.016715429] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698527996.022157398] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698527996.030316353] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.031520346] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698527996.036803316] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527996.050359240] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698527996.062879170] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698527996.066653149] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698527996.070742126] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.077070091] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527996.084049051] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698527996.085149045] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527996.089403021] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698527996.093739997] [environment]: Responding
