 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698532977.945256068] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532977.951951982] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532977.958972891] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532977.966510795] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532977.974284695] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532977.981940596] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532977.989527499] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532977.996303412] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532978.004377308] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532978.015300168] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532978.024264053] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532978.031606958] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532978.035744905] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698532978.034818917] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698532978.035503908] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698532978.050170720] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532978.054317666] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698532978.057298628] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698532978.059283602] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.062405562] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.074066412] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.065170527] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532978.070120463] [robot]: Doing a_navto
