 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698541158.643376513] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.649292441] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541158.654383379] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.659657314] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541158.665151247] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.670566180] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.676427109] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.681536046] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541158.687732970] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541158.693034905] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.698990832] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.704566764] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541158.710332693] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541158.726065501] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698541158.735784382] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541158.789238727] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698541158.793701672] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698541158.797544625] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541158.801614575] [robot]: Robot's actions:
