 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698527302.939297178] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527302.944380146] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527302.961584037] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527302.967372000] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698527302.982430905] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527302.987379874] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.004930763] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.010481727] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.016391689] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698527303.025695628] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698527303.034874569] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698527303.035557564] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698527303.037059555] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527303.040094535] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698527303.055707433] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698527303.060374403] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527303.061240397] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698527303.065253371] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698527303.067436357] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698527303.069898341] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527303.072716323] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.077438292] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.083403253] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527303.088647219] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527303.089462214] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527303.092192196] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527303.096335169] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698527303.092392195] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698527303.098600154] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527303.099063151] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698527303.100059145] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527303.104167118] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527303.108530090] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527303.104337117] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698527303.109892081] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.114201053] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698527303.115474045] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527303.122331000] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527303.133349928] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527303.135595914] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527303.148008833] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.159178760] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527303.162595738] [environment]: Receiving message: a_approach_arm,robot1,arm1
