 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698533414.125448635] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.143402483] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.149146434] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.164006308] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533414.169500262] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533414.175256213] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.190015088] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.206405949] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533414.211670904] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533414.219662837] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698533414.228797759] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533414.229672752] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533414.232544728] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698533414.240393661] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533414.245690616] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698533414.252230561] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.258619507] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533414.262359475] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533414.260060495] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533414.264746455] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698533414.270070410] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.271400398] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533414.278964334] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533414.275420364] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.280687320] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533414.286377272] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.288103257] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533414.290935233] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698533414.291068232] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.300924148] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533414.305614109] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.310986063] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533414.316765014] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533414.322429966] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533414.327286925] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533414.333103876] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.337826836] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698533414.338140833] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533414.347758752] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533414.353370704] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533414.355859683] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533414.377739498] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.382786455] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533414.387287417] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533414.391468381] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533414.396368340] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533414.395844344] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533414.400420305] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533414.403454280] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698533414.407606245] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533414.408735235] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533414.412877200] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533414.416562169] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533414.418385153] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533414.430829048] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698533414.434547016] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.436541999] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533414.442949945] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533414.449036894] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533414.455923835] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.460954793] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.462856777] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533414.464816760] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698533414.467702735] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.480011631] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.489958547] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.494760506] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533414.494909505] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.500998453] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.503160435] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533414.507766396] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.508061394] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.513624346] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533414.514678338] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698533414.519548296] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698533414.523822260] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533414.550204037] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.554830997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533414.555870989] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.560228952] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.567280892] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533414.572780845] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533414.574299832] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533414.578444797] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.579869785] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.587750718] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533414.592669677] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.592718676] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.607668550] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.609061538] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.614042496] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.614667490] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533414.618307460] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.620940437] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533414.623833413] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533414.625430399] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533414.629710363] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698533414.637218299] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.642963251] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533414.646985217] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.644737236] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533414.656351137] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.658376120] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.669110029] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533414.674723982] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.678983946] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533414.683289909] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.688433866] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533414.690905845] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.694017818] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.699081775] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533414.699172775] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.706740710] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533414.713740651] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698533414.717770617] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533414.713794651] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533414.723445569] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533414.725197554] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533414.726441544] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533414.734393476] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533414.736387459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533414.742537407] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533414.743144402] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533414.744250393] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533414.753801312] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.761698245] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533414.763162232] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533414.768591186] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.769461179] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533414.773524145] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533414.775232130] [arm]: Doing a_pick_up_sample
