 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698533948.357148231] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.365330084] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.382058782] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.391401614] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533948.400076457] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533948.409460288] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.417816138] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.426521981] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.435961811] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533948.447445604] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698533948.456043449] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533948.458560403] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533948.460530368] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533948.461251355] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698533948.466006269] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533948.473353137] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533948.477768057] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533948.467118249] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533948.473887127] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533948.477914055] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533948.481419991] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533948.484971927] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533948.485473918] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698533948.490383830] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533948.507342524] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533948.514964387] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698533948.519880298] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.525442198] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533948.529749120] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698533948.531096096] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533948.537548980] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698533948.538990954] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533948.542477891] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533948.549878758] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533948.556071646] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533948.561710544] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533948.562562529] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.566467459] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698533948.573370334] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698533948.576950270] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698533948.577816254] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533948.584505133] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533948.584841127] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533948.597434900] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533948.597603897] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.597723895] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.602998800] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533948.609527682] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.613367613] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533948.617493539] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533948.627616356] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533948.634713229] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.638549159] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.647527998] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533948.652030916] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533948.652291912] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533948.656684833] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.657177824] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.669495602] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.675470494] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.675753489] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.686396297] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533948.690481223] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533948.697636095] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533948.697748092] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.702238012] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.702658004] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533948.717996728] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.721790659] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.718596717] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533948.723262633] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698533948.728366541] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.734636428] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533948.747312199] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533948.749271164] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.754378072] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533948.749930152] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.756722030] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533948.764836883] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533948.768726813] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.765184877] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533948.778057645] [coordinator]: plans_actions_current 1 of 11
