 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534338.445706698] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.457971522] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.473846293] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.478071233] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534338.496780964] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534338.501501896] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.518350654] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.523285583] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534338.538218368] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534338.547012242] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698534338.557124096] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534338.570038911] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534338.576496818] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698534338.588739642] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534338.596158535] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534338.599974481] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.600238477] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534338.605024408] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.610390331] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534338.613517286] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534338.618307217] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534338.622480157] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534338.617347231] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.622577156] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534338.626457100] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698534338.631979021] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698534338.635570969] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534338.628813066] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534338.641233888] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698534338.629752053] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534338.633752995] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534338.638533926] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534338.642769865] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534338.646569811] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534338.654502697] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534338.650880749] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534338.656328671] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534338.665382540] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534338.666037531] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534338.669843476] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.683041287] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.687157227] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534338.687610221] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534338.689401195] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534338.703065999] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534338.703695990] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698534338.708111926] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534338.720787744] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534338.728432634] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534338.735759529] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534338.744343405] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698534338.750293320] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534338.760310176] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534338.763084136] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534338.764068122] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534338.768788054] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534338.778329917] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698534338.778474915] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534338.780485886] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698534338.783026849] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534338.789648754] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.790486742] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534338.795370672] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534338.797019648] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534338.799725609] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534338.803202559] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534338.823180272] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534338.830626165] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534338.834504110] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534338.833354126] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698534338.849917888] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.833989117] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.840791019] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534338.845231955] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.848753905] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534338.843719977] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534338.847475923] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534338.864234682] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534338.870697589] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534338.884028398] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534338.892146281] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534338.894669245] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.905706086] [nurse]: not ready
