 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534211.665739504] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.684941198] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.693556060] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.702325920] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534211.721047622] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534211.741271299] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.749783164] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.769811844] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534211.778223710] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698534211.796196423] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698534211.806842254] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698534211.813163153] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534211.822879998] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534211.824600970] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534211.830635874] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698534211.834339815] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534211.838745745] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534211.844855647] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534211.841807696] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534211.843445670] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534211.848050596] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534211.848586588] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698534211.854063500] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534211.860878392] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534211.864522334] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534211.868737266] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534211.854947486] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534211.859510414] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534211.865379320] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534211.871180227] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698534211.873297194] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534211.880573078] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698534211.881044070] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534211.885997991] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534211.890720916] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534211.898357794] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534211.903500712] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534211.905571679] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534211.916894498] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534211.921576424] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534211.929244301] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534211.933682231] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534211.935239206] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534211.942507090] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698534211.942750086] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534211.947969003] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534211.952937924] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534211.962375773] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534211.965362725] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698534211.972266615] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534211.974889573] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534211.983671433] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534211.988613355] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534211.988897350] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698534211.993863271] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698534211.996291232] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534211.998073204] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534212.004631099] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.006809064] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.009522021] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534212.010378007] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.012571972] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534212.018619876] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.025360768] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534212.026963743] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.032262658] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534212.034393624] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.044252467] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534212.053498320] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534212.053886313] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.058095246] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.055451288] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.059551223] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.069294068] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534212.069693061] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534212.071063039] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.074471985] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534212.077395938] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.078796916] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534212.085793804] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.086269797] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.093309684] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.101467554] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534212.103265526] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534212.107390460] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534212.109238430] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698534212.117351301] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534212.120920244] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534212.122535218] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.131924068] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.138204968] [arm]: not ready
