 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530448.786412693] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.791149694] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530448.810322697] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.815369697] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.830341699] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.834752700] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530448.849728702] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530448.855350703] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.859474704] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.875556706] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530448.881266707] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530448.895180709] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698530448.896991709] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530448.898132709] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530448.910322711] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698530448.914795711] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530448.919180712] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530448.925538713] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530448.919717712] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530448.924867713] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698530448.930004714] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530448.931529714] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530448.936509715] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530448.940730715] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698530448.947445716] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698530448.951665717] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530448.955880717] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530448.959145718] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698530448.961143718] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530448.968044719] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698530448.969324719] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530448.973908720] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530448.977968720] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530448.982292721] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530448.986474722] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530448.991085722] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530448.995189723] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530448.999253723] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530449.000759724] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530449.006649724] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530449.013918725] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698530449.016843725] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530449.020981725] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.032907727] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698530449.033145727] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530449.037633727] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.046575728] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530449.051048728] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530449.055362728] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530449.055394728] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530449.066039729] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530449.070028730] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530449.066970729] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698530449.069520730] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530449.070872730] [arm]: Action result: True
