 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540804.159127981] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.168023779] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.176125595] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.184145413] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540804.192839216] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540804.200782036] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.209142846] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.218214641] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540804.227007441] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540804.242743084] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698540804.248423956] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540804.253807833] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698540804.253919831] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540804.259107713] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540804.265218575] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698540804.259475705] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698540804.263173621] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698540804.263195620] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540804.267168530] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540804.270656451] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.272840402] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540804.275513341] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540804.280697223] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540804.281314209] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698540804.286891083] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.287253075] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698540804.297643839] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698540804.303101715] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540804.307089625] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540804.299180804] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.304161691] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540804.308170600] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.314332461] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540804.318566365] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540804.322363278] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540804.320419322] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698540804.324135238] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540804.325923198] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540804.333373029] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.337245941] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540804.330808087] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540804.334829996] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540804.334652000] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698540804.350685636] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540804.352227601] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698540804.361852383] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540804.381323941] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.398025562] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.405682389] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.405897384] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.415351169] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.421545029] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540804.425595937] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540804.417242126] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540804.424180969] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540804.423458985] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.427592892] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.432175788] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540804.438617641] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698540804.438932634] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540804.442589551] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540804.446989452] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698540804.449003406] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.458601188] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.462372103] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540804.459122176] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.462954089] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.467751981] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540804.473431852] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540804.480257697] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.480432693] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540804.483945613] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.499780254] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540804.500356241] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698540804.515270903] [environment]: Responding
