 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530581.974532776] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530581.999689837] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530582.005325851] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.021939890] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530582.026422900] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.031253912] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.047786950] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.065362992] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530582.070035003] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530582.074593013] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.091855054] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.096893066] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.111092099] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530582.119299119] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698530582.129329142] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530582.129491143] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530582.133684152] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530582.141838172] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530582.146080182] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698530582.150017191] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530582.156243205] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.162084219] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530582.166694230] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530582.174630249] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530582.162574220] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.168030233] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530582.175440251] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698530582.183893270] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.185659275] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530582.190364286] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530582.186482277] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530582.189603284] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530582.194377295] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.201530312] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530582.202444314] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698530582.207071325] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530582.207641326] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698530582.211396335] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530582.214616343] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530582.218821353] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530582.225464368] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.233282387] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530582.241245405] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530582.245557415] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530582.247736421] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530582.253550434] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.266642465] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.267671468] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530582.270869475] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.273372481] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530582.274099483] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530582.281841501] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530582.285926510] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530582.293944529] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698530582.297343537] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698530582.314036577] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530582.318012586] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530582.322753597] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530582.329847614] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530582.331001616] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.337742632] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530582.338136633] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698530582.351789665] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.355686674] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.359393683] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530582.363147692] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.351774665] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.355785675] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.364255695] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.372208713] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.381303735] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.391184758] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.401285782] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.405693792] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
