 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698535760.484935973] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.488503012] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.491669047] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.497611112] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535760.507040215] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535760.513016281] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.518392339] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.522346383] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535760.526086424] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698535760.537528549] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698535760.540716584] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535760.541457592] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698535760.545208633] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698535760.550010686] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.556473757] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.552437713] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698535760.561666814] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.564358843] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698535760.571069917] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535760.581352029] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535760.585653076] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535760.582687044] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698535760.587279094] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698535760.591396139] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535760.595447184] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698535760.599411227] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535760.603053267] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535760.606591306] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535760.605615295] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535760.609782341] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698535760.612225368] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535760.616270412] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535760.622238477] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535760.627000530] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535760.628844550] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535760.630981573] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535760.635191619] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535760.639658668] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535760.646564744] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535760.648818769] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535760.650805790] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.661007902] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.665796955] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535760.672848032] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.676175068] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.672398027] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535760.676025067] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535760.683923153] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535760.684819163] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698535760.689039209] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535760.697515302] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698535760.701784349] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698535760.702525357] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698535760.708378421] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535760.724981603] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698535760.729025647] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535760.732836689] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698535760.731273672] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535760.734991713] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535760.739114758] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535760.732326684] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535760.741092780] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.753840919] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535760.761822007] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.765455047] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.769942096] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.784842259] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535760.788108295] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535760.793003348] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535760.793071349] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535760.797379396] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.805939490] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535760.806264494] [environment]: Receiving message: a_approach_nurse,robot1
