 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540408.862115043] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540408.870870158] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540408.879364270] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540408.898210518] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540408.907257637] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540408.926126885] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540408.934904000] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540408.955830276] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698540408.963324374] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540408.967046423] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698540408.964502390] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540408.968231439] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698540408.981085608] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540408.984908658] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698540408.981549614] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540408.989851723] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698540408.992082753] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540408.999095845] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.002176885] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540409.003872908] [arm]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698540409.008529969] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698540409.013758037] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698540409.018034093] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540409.019737116] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.028207227] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.036312333] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698540409.036321333] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698540409.039178371] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540409.048661495] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540409.049946512] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540409.053387557] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540409.056013592] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.061745667] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.071826799] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540409.080235909] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540409.080971919] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540409.085441978] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540409.089789035] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540409.103869219] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540409.106126249] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698540409.109554294] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.115601373] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540409.124381488] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.125645505] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.129901561] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540409.131911587] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.141642715] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540409.147595793] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540409.149149813] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540409.152844862] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.155280894] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540409.161618977] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698540409.162711991] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.166427040] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540409.171981113] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698540409.177433184] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.183118259] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.184524277] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540409.192417381] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.206451565] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.206966572] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.211290628] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.216501697] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.227220837] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.233987926] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.241627026] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540409.246377089] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540409.247842108] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698540409.253293179] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540409.256953227] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.259180256] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.268392377] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540409.271585419] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540409.272185427] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.273288442] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540409.279181519] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.285515602] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.298139767] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.302958831] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.304613852] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540409.310662932] [nurse]: Action: a_authenticate_nurse
