 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698538913.334758930] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.351894447] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538913.360676200] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.377394728] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538913.385307505] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.403025006] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.412288745] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.432623171] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538913.440509949] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538913.450063680] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.458186451] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.481064806] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538913.486274659] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538913.508781025] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698538913.514416866] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538913.515806827] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538913.526705520] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698538913.532720350] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698538913.534839290] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538913.539157169] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698538913.539849149] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.540258137] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538913.545702984] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538913.550397852] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538913.554631732] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538913.558352627] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538913.551026834] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538913.558161633] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.554075748] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538913.558185632] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538913.560023580] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538913.563479483] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538913.567346374] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538913.572045241] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538913.575682139] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538913.580272010] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538913.584644886] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538913.588926766] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538913.592767657] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538913.602401386] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538913.608855204] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.628906639] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.641391287] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538913.648674081] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538913.655611886] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538913.663814655] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538913.668765515] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698538913.670425468] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538913.674076365] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538913.677855259] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538913.688451960] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538913.688894948] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538913.693929806] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538913.693915806] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698538913.700198629] [nurse]: Action result: False
