 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537665.038292090] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.057058454] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537665.065943627] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.083482967] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.092748147] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.112489530] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537665.121288700] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537665.140695077] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.149326244] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.158415421] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.176705776] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537665.190128036] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537665.197427178] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537665.201076248] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537665.203433294] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698537665.217023558] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537665.221825651] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537665.226857749] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.232994868] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698537665.237365953] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537665.244011082] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537665.249736193] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537665.250217202] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.260700405] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537665.268200551] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698537665.274681677] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698537665.275602694] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537665.280106782] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537665.281415807] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537665.286179900] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537665.295998090] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537665.299745163] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537665.312107403] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537665.315553470] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537665.317590509] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.321779590] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.327076693] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537665.332512799] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698537665.342911000] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537665.344262027] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698537665.348472108] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537665.352571188] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537665.361666364] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537665.364782425] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537665.369474516] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537665.379046701] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.385934835] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537665.395036012] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537665.401994147] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.412313347] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.416634431] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537665.413618372] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.417498448] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.425579604] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.426207617] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.426732627] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537665.430657703] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537665.443536953] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.454799171] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537665.455335182] [coordinator]: Receiving sync message: action_complete,a_navto
